"name","id","address","unom","district","area","col_758","col_759","col_760","col_761","col_762","col_763","col_764","col_766","col_769","col_770","col_771","col_772","col_775","col_781","col_1945_del","col_2463","col_3163"
"Адрес из сторонней системы","Идентификатор из сторонней системы","Адрес по БТИ","УНОМ","Округ","Район","Серии проектов","Количество этажей","Количество подъездов","Количество квартир","Общая площадь","Общая площадь жилых помещений","Общая площадь нежилых помещений","Износ объекта (по БТИ)"," Материалы стен","Признак аварийности здания","Количество пассажирских лифтов","Количество грузопассажирских лифтов","Очередность уборки кровли","Материалы кровли по БТИ","","Типы жилищного фонда","Статусы МКД"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Суздальская ул., д. 24, к. 2","1520521","город Москва, Суздальская улица, дом 24, корпус 2","31783","Восточный административный округ","муниципальный округ Новокосино","2048785","14","3","130","9210.9","8615.3","595.6","","2048929","22728486","6","0","","22289207","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Сокольнический Вал, д. 4","1526496","город Москва, улица Сокольнический Вал, дом 4","24231","Восточный административный округ","муниципальный округ Сокольники","2048912","5","3","61","2806.9","2603.3","203.6","","179625090","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Новокосинская ул., д. 38, к. 2","1502303","город Москва, Новокосинская улица, дом 38, корпус 2","16560","Восточный административный округ","муниципальный округ Новокосино","2048777","17","2","128","9538.4","6990.9","2547.5","","2048929","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Малый Купавенский пр-д, д. 1","1502774","город Москва, Малый Купавенский проезд, дом 1","12180","Восточный административный округ","муниципальный округ Ивановское","2048789","16","2","206","11502.2","10480.4","1021.8","","179625089","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 5-я Парковая ул., д. 52","1502277","город Москва, 5-я Парковая улица, дом 52","18617","Восточный административный округ","муниципальный округ Измайлово","2048912","5","9","155","9140","6932","2208","","179625102","22728486","0","0","22289162","22289205","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Северное Измайлово, Щёлковское ш., д. 24","1530076","город Москва, Щёлковское шоссе, дом 24","29898","Восточный административный округ","муниципальный округ Северное Измайлово","2048912","5","3","52","2974.5","2161.4","813.1","","179625102","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Городецкая ул., д. 3","1517553","город Москва, Городецкая улица, дом 3","5747","Восточный административный округ","муниципальный округ Новокосино","2048744","22","2","171","11426","11124.9","301.1","","2048929","22728486","4","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, ш. Энтузиастов, д. 60, к. 1","1524342","город Москва, шоссе Энтузиастов, дом 60, корпус 1","30141","Восточный административный округ","муниципальный округ Перово","2048798","12","4","176","10866.4","9569.1","1297.3","","179625102","22728486","8","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Суздальская ул., д. 26, к. 2","1525392","город Москва, Суздальская улица, дом 26, корпус 2","31654","Восточный административный округ","муниципальный округ Новокосино","2048764","14","3","130","9101.1","8519.5","581.6","","2048929","22728486","6","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, 2-я Владимирская ул., д. 15, к. 1","1536116","город Москва, 2-я Владимирская улица, дом 15, корпус 1","4046","Восточный административный округ","муниципальный округ Перово","2048912","5","3","59","3014","2484","530","","179625090","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 10-я Парковая ул., д. 17","1505003","город Москва, 10-я Парковая улица, дом 17","18778","Восточный административный округ","муниципальный округ Измайлово","2048764","14","2","110","6386.1","6348","38.1","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, Борисовская ул., д. 10А","1515332","город Москва, Борисовская улица, дом 10А","2493","Восточный административный округ","муниципальный округ Соколиная Гора","2048798","4","3","36","2127","1737","390","","179625102","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новогиреево, Коренная ул., д. 8, к. 2","1502382","город Москва, Коренная улица, дом 8, корпус 2","10929","Восточный административный округ","муниципальный округ Новогиреево","2048764","12","2","93","5447.2","5293.2","154","","2048929","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Щёлковское ш., д. 85, к. 4","1521151","город Москва, Щёлковское шоссе, дом 85, корпус 4","29964","Восточный административный округ","муниципальный округ Гольяново","2048755","5","5","100","4495.7","4495.7","0","","2048929","22728486","0","0","22289163","22289214","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, 3-я Богатырская ул., д. 14","1519073","город Москва, 3-я Богатырская улица, дом 14","2256","Восточный административный округ","муниципальный округ Богородское","2048912","5","2","30","1814","1639","175","0","179625102","22728486","0","0","22289163","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Косино-Ухтомский, Оренбургская ул., д. 12, к. 2","1520419","город Москва, Оренбургская улица, дом 12, корпус 2","17673","Восточный административный округ","муниципальный округ Косино-Ухтомский","2048912","4","3","48","2035.7","2035.7","0","","179625102","22728486","0","0","22289163","22289205","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Преображенское, Большая Черкизовская ул., д. 18/1","1507684","город Москва, Большая Черкизовская улица, дом 18/1","28582","Восточный административный округ","муниципальный округ Преображенское","56183243","9","4","129","7601.3","6409.6","1191.7","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, ш. Энтузиастов, д. 82/2, к. 1","1511998","город Москва, шоссе Энтузиастов, дом 82/2, корпус 1","30153","Восточный административный округ","муниципальный округ Перово","2048788","16","1","78","4688.3","4186.8","501.5","","2048929","22728486","1","1","","22289207","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 9-я Парковая ул., д. 43/26","1534596","город Москва, 9-я Парковая улица, дом 43/26","18738","Восточный административный округ","муниципальный округ Измайлово","2048912","9","7","205","18904.4","13848.6","5055.8","","179625102","22728486","7","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новогиреево, Фрязевская ул., д. 9, к. 1","1537392","город Москва, Фрязевская улица, дом 9, корпус 1","27705","Восточный административный округ","муниципальный округ Новогиреево","56183254","12","1","80","5382.8","3481.5","1901.3","","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Челябинская ул., д. 24, к. 3","1535755","город Москва, Челябинская улица, дом 24, корпус 3","28419","Восточный административный округ","муниципальный округ Ивановское","2048780","12","4","189","8756","8740","16","","2048929","22728486","8","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Северное Измайлово, 13-я Парковая ул., д. 30, к. 1","1529739","город Москва, 13-я Парковая улица, дом 30, корпус 1","240078","Восточный административный округ","муниципальный округ Северное Измайлово","2048825","17","2","133","7608","7522.2","85.8","0","2048929","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Преображенское, Знаменская ул., д. 19","1526776","город Москва, Знаменская улица, дом 19","8464","Восточный административный округ","муниципальный округ Преображенское","2048763","9","5","180","7887.9","7887.9","0","","179625102","22728486","5","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Алтайская ул., д. 32","1517922","город Москва, Алтайская улица, дом 32","388","Восточный административный округ","муниципальный округ Гольяново","2048755","9","8","288","14348.1","14345.8","2-Mar","17","2048929","22728486","8","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, б-р Маршала Рокоссовского, д. 17","1506408","город Москва, бульвар Маршала Рокоссовского, дом 17","21919","Восточный административный округ","муниципальный округ Богородское","2048912","9","1","68","2671","2458","213","","179625090","22728486","1","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Короленко, д. 1, к. 9","1529764","город Москва, улица Короленко, дом 1, корпус 9","11070","Восточный административный округ","муниципальный округ Сокольники","2048758","9","1","72","2538.6","2517","21-Jun","","179625102","22728486","1","1","","22289201","0","42875644","58761330"
